Session,First,Last,FullName,Position,Organization,Title,LinkedIn,SessionAudience,Abstract,Room,StartTime,EndTime
10,Matt,Dubay,Matt Dubay,"AVP, Analytic Consultant",Wells Fargo,Riding the Self-Serve Wave to Change Enterprise BI Culture ,https://www.linkedin.com/in/matthewdubay,BT," Back in 2016, Gartner published that they changed how they measured BI platforms, noting a change in the tools and the industry to enable more self-service.  Terms like self-service data prep and self-service analytics started being used more and more.  The shift in industry spoke of the reduction of the reliance on IT in this new world, and furthermore less reliance on experienced BI professionals to build solutions.  Our question is - what if IT and experienced BI folks rode that self-service wave right alongside the business - what happens then?  That is what we have been doing within our team at Wells Fargo, and we will show how this is a pretty fun ride to be on.  ",Escapade,9:00 AM,9:45 AM
11,Ali,Wing,Ali Wing,Former Chief Marketing Officer & EVP Digital Channels,Ascena Retail,"Executive Panel -- Analytics, Big Data, and Artificial Intelligence Impact on Retail and Financial Industries from the Executive Perspective",https://www.linkedin.com/in/aliwing,BT,,2-430,11:15 AM,12:00 PM
11,Hunter,Saklad,Hunter Saklad,SVP & CIO,Sleep Number by Select Comfort,"Executive Panel -- Analytics, Big Data, and Artificial Intelligence Impact on Retail and Financial Industries from the Executive Perspective",https://www.linkedin.com/in/hsaklad/,BT,,2-430,11:15 AM,12:00 PM
11,Eric,Bibelnieks,Eric Bibelnieks,VP Customer Analytics,Maurice's,"Executive Panel -- Analytics, Big Data, and Artificial Intelligence Impact on Retail and Financial Industries from the Executive Perspective",https://www.linkedin.com/in/eric-bibelnieks-b1b2382,BT,,2-430,11:15 AM,12:00 PM
11,Mohammed,Aaser,Mohammed Aaser,"VP, Strategy and Marketing Analytics",Ameriprise Financial,"Executive Panel -- Analytics, Big Data, and Artificial Intelligence Impact on Retail and Financial Industries from the Executive Perspective",https://www.linkedin.com/in/mohammedaaser/,BT,,2-430,11:15 AM,12:00 PM
11,Julie,Joyce,Julie Joyce,VP & Actuary - Loss Analytics,Travelers,"Executive Panel -- Analytics, Big Data, and Artificial Intelligence Impact on Retail and Financial Industries from the Executive Perspective",https://www.linkedin.com/in/joycejulie,BT,,2-430,11:15 AM,12:00 PM
12,Katy,Cambell,Katy Cambell,"Sr. Mgr, Consumer Insights and Analytics",Sleep Number by Select Comfort,Insights for All,https://www.linkedin.com/in/katy-campbell-2336884/,,"Congratulations! You’ve built a model that will revolutionize your business and genuinely improve your customer’s lives (ok, maybe we’re unique there). But how do you get the model from your computer into action? This session will investigate ways to collaborate and communicate effectively with your partners and customers, ensuring that your insights drive change, and increasing your team’s visibility within your organization. We will use real examples of how Sleep Number communicates advanced analytics, IoT and machine learning model insights both internally and to our customers.",2-430,10:00 AM,10:45 AM
13,Brianna,Noland,Brianna Noland,Consumer Insights Data Scientist,General Mills,"Propensity Score Analysis for Retail and Financial Products: Estimating the Causal Effect of Marketing",https://www.linkedin.com/in/briannanoland,BT,"In marketing, it can be difficult to estimate the causal effect of campaigns and discounts, and even more difficult to predict the purchasing decisions of new or potential customers. Using propensity score analysis, we can leverage non-transactional consumer data, including demographics, geography, and more, to help determine the likelihood of purchasing, and to help select the right levels of discounts, where necessary. Propensity models aren’t just for marketing, however! This talk will also discuss how this versatile tool can be utilized for a wealth of diverse applications.",3-432,11:15 AM,12:00 PM
14,Kent,Strand,Kent Strand,Managing Partner,Accredent,Using the Physical Web to Engage Customers Where They Are At,,B,"Are you in the right place at the right time in the right context when customers are ready to receive? The physical web is enabling product and services to be adapted to surprise and delight customers where they are at - breaking down engagement barriers and capturing customers appreciation, as well as driving new business. Explore this world of physical Web contextual customer engagement and see how connected data-driven businesses are capitalizing on emerging interaction opportunities both inside and outside their four walls.",1-323,9:00 AM,9:45 AM
15,Dr. Joseph,Konstan,Dr. Joseph Konstan,Distinguished McKnight University Professor and Distinguished University Teaching Professor in the Department of Computer Science and Engineering,University of Minnesota,"Recommender Systems:  Beyond Machine Learning",https://www.linkedin.com/in/joe-konstan-a415365,BT,"Recommender systems help users find items of interest and help websites and marketers select items to promote.  Today's recommender systems incorporate sophisticated technology to model user preferences, model item properties, and leverage the experiences of a large community of users in the service of better recommendations.  Yet all too often better recommendations--at least by traditional measures of accuracy and precision--fail to meet the goal of improving user experience.  This talk will take a look at successes and failures in moving beyond basic machine learning approaches to recommender systems to emphasize factors tied to user behavior and experience.  Along the way, we will explore a generalizable approach to combining human-centered evaluation with data mining and machine learning techniques.",2-430,10:00 AM,10:45 AM
16,Mohammed,Aaser,Mohammed Aaser,"VP, Strategy and Marketing Analytics",Ameriprise Financial,"Over half of analytics projects fail, what separates those that succeed?",https://www.linkedin.com/in/mohammedaaser/,BT,"According to recent research by Gartner, More than 50% of analytics projects fail. In addition, when I asked a number of leading chief analytics officers about their work, I found that most had not seen a significant bottom line impact. Given this – what is the best way to really deliver value from your analytics projects and make a meaningful impact on your organization? Also, what are the common pitfalls in analytics project and what can you do to over come them?",3-432,11:15 AM,12:00 PM
17,Mike,Olson,Mike Olson,President and Co-Founder,Zuben AI,Data Scientists are not Storytellers – Strategic Management of Analytic Resources,https://www.linkedin.com/in/zuben,BT,"We’ve all heard it: To become a better data scientist, you must become a better storyteller. But is it true? If the wrong business question is asked, if the wrong analysis is done, or if the outcome isn’t actionable, then the storytelling talents of the data scientist become meaningless. This talk brings a systems perspective to analytic projects within the organization, specifically how to maximize the ROI of data science initiatives. For the analyst, we introduce safe* workplace skepticism techniques and reaffirm the scientific method. For the business, we provide a primer on analytic prioritization and expected behaviors for a high performing covfefe of data science unicorns.*Disclaimer: Depending on corporate culture, these techniques may backfire.",Auditorium,9:00 AM,9:45 AM
18,Devi,Kayanam,Devi Kayanam,Data Science and Analytics Lead,Target,Data Science for a Social Cause: Price Forecasting with ARIMA and Hybrid Ensemble Models to Help Farmers in Rural India.,https://www.linkedin.com/in/devi-kyanam-77aa366/,BT,This topic focuses on time series price forecasting techniques using traditional ARIMA and hybrid ensemble machine learning models. This work is done as a part of a Pro Bono effort to help rural farmers living in poverty in India make informed decisions to manage price risk effectively. Predictive models with more than ninety percent accuracy were built with daily time series data to thereby guide farmers make intelligent decisions on holding versus selling of their agricultural commodities.,Escapade,10:00 AM,10:45 AM
19,Jim,Tincher,Jim Tincher,"Adjunct Instructor U of M, Chief Journey Mapper",Heart of the Customer,Better Together: Using qual and quant to deliver a better customer experience at Allianz,https://www.linkedin.com/in/jimtincher/,,"It requires a strong balance of qualitative and quantitative analysis to effectively drive your customer experience improvements. Learn how Allianz combined these two, along with journey mapping best practices, to align their broad teams on the top priorities to improve their new customer experience.",1-323,11:15 AM,12:00 PM
19,Angelica, Bonacci,Angelica  Bonacci,"Allianz Director, Market and Customer Insights",Allianz Life,Better Together: Using qual and quant to deliver a better customer experience at Allianz,https://www.linkedin.com/in/angelica-bonacci-03129a4/,,"It requires a strong balance of qualitative and quantitative analysis to effectively drive your customer experience improvements. Learn how Allianz combined these two, along with journey mapping best practices, to align their broad teams on the top priorities to improve their new customer experience.",1-323,11:15 AM,12:00 PM
20,David,Drymon,David Drymon,Market Research Manager at Northern Tool & Equipment,Northern Tools,From Guts to Glory: The evolution on site selection at Northern Tools,https://www.linkedin.com/in/daviddrymon/,,"Long a catalog and web_based purveyor of tools, machinery and specialty products for the DIYer and farmer along with construction and contractor businesses large and small, Northern Tool & Equipment began operating stores in 1981 with the company’s founding. Local commercial real estate reps and brokers provided individual market insights and guided location decisions in those early days along with a heavy dose of the company’s street smarts, gut instinct and entrepreneurial risk. As the need to open stores at a quicker pace and grow outside its early regional footprints arose, the company began experimenting with various GIS and demographic data system to add a sense of speed to the decision_making process and provide relativity to the new markets and sites. These systems improved the speed of data delivery but did not add much to the accuracy of projecting sales for new stores. At the same time, data delivery became more cumbersome and time consuming over time as more and more data was loaded into systems in an attempt to increase learning. Fast forward to today – NTE has taken its site and market analysis functions to the cloud. At present, systems are up and running. There is no more reliance on the speed of a desktop computer’s C:\ drive and painstaking queries of our SAS data warehouse to answer site/market analysis questions. Questions that took days, maybe even a week to answer, are now forwarded to decision makers in a matter of hours or half days. New systems are quick and nimble while being available from any robust web connection making fieldwork much more meaningful in real time. Are the sales forecasts any more accurate? Stay tuned.",3-432,10:00 AM,10:45 AM
21,Brian,Kreeger,Brian Kreeger,Senior Data Scientist,CH Robinson,How Do I Get Started With This Data?,https://www.linkedin.com/in/briankreeger,T,"Many people want to be able to analyze data, but don't know where to start. In this introductory talk, we'll use open source Python to import and munge/clean the data, develop visualizations to further understand it, and tackle a problem. We'll be using Continuum Analytics' Anaconda Python distribution, which is freely available, so bring a laptop to participate!",Auditorium,11:15 AM,12:00 PM
22,Robert,Cooley,Robert Cooley,CTO,Optimine,"Performing Analytics with the Data You Have, not the Data You Wish You Had",https://www.linkedin.com/in/rwcooley,BT,"A common barrier to completing an analytics project is the mindset that a particular set of data, which is not currently available, is required to complete the analysis. In some cases, the missing data may be necessary. However, in many cases the selection of a different technique or a re-framing of the problem can lead to a viable solution using just the data on hand. This talk will focus on the art of re-framing analytics projects and the selection of techniques that fit the available data. Practical examples from 20+ years of marketing analytics projects from retail and finance will be used throughout the talk to highlight the points being made.",Escapade,9:00 AM,9:45 AM
23,Scott,"Ernst, Ph.D.","Scott Ernst, Ph.D.",Director of Data Science and Data Engineering,When I Work,When a “What If…” Becomes Reality,https://www.linkedin.com/in/swernst/,BT,"What if a fast-growing startup asked you to build their data science and data engineering from scratch? No legacy data, tooling or infrastructure to support. You get executive support, excited and helpful peers and the freedom to make the choices you want. The catch is that you have to deliver results quickly and you cannot fail. How would you do it? What would it look like? Gartner research is forecasting that 60% of data projects in 2017 will fail to make it to production. So what are the key decisions you'd make to ensure success? I found myself in this situation earlier this year when I joined the When I Work team. In this talk I'll walk through how we are rising to meet this challenge and working aggressively to build world class data science and engineering at When I Work.",1-323,10:00 AM,10:45 AM
24,Jason,McNellis,Jason McNellis,VP of Analytics,Centriam,"Counterintuitive Tips to Conquer the Productivity Paradox in Analytics",https://www.linkedin.com/in/jasonmcnellis,B,,2-430,11:15 AM,12:00 PM
25,Chandler,Wilson,Chandler Wilson,Director of Analytics & Insights,Walmart,Strategy Machines,https://www.linkedin.com/in/chandlertwilson,B,"Many companies have begun efforts that integrate machine intelligence into their day to day operations. None the less, it’s still early days for most firms. What’s not clear is if companies that aren’t “data natives” can ever come to fully embrace the processes, as well as the acceptance of uncertainty and optionality needed to realize the possible gains. This talk will be about how management practices can use machine to enable firms to built strategies in divergent and multifaceted ways.",3-432,9:00 AM,9:45 AM
26,Dana,Engebretson,Dana Engebretson,Data Scientist,SPS Commerce,Step into the future with AWS Step Function,https://www.linkedin.com/in/dengebretson,T,"In this hands on training, you will learn how to extract, transform and load data from an API into parquet files in S3 using lambdas run in parallel with step functions. This is a performant and cost effective solution to extract and store your data for analysis at scale.",Auditorium,10:00 AM,10:45 AM
27,Eric,Bibelnieks,Eric Bibelnieks,VP Customer Analytics,Maurice's,Driving Customer Engagement thru Loyalty,https://www.linkedin.com/in/eric-bibelnieks-b1b2382,B,"maurices implemented a data-driven loyalty program to increase customer engagement. Today, the program is a major component of maurices’ marketing strategy and the program continues to expand functionality. Attend this session to learn how they stood up the new program, leverage the data, analytics, and contact strategy to increase customer engagement, results to date, and future directions.",Escapade,11:15 AM,12:00 PM
28,Shawn,Spott,Shawn Spott,"VP, Senior Manager Reporting and Visualization",RBC,Deserted Island Data Science – How to Survive and Thrive With Your Analytics,https://www.linkedin.com/in/shawn-spott-8070244,BT,"How does an internal analytics or BI Team develop strategies to create an appetite for advanced analytics within your organization? RBC Wealth Management and Slalom Consulting will share how they helped develop an internal culture of advanced analytics by harnessing the power of organizational knowledge, applied statistics, and data visualization. Visualization was utilized to inspire interest, and advanced segmentation techniques (K Means and hierarchical clustering) were utilized to develop applicable insights for executives. This successful proof of concept illustrated that effective data science can be achieved efficiently. The presentation will be applicable to both the business side (strategies for getting your data science in front of executives) to the technical side (in depth breakdown of advanced analytic methods). By starting small, having a plan, and clear deliverables, we were able to establish credibility and define a process that we would love to share with other organizations.",Escapade,9:00 AM,9:45 AM
28,Jaskaran,Singh,Jaskaran Singh,Consultant,Slalom,Deserted Island Data Science – How to Survive and Thrive With Your Analytics,https://www.linkedin.com/in/jksingh91,BT,"How does an internal analytics or BI Team develop strategies to create an appetite for advanced analytics within your organization? RBC Wealth Management and Slalom Consulting will share how they helped develop an internal culture of advanced analytics by harnessing the power of organizational knowledge, applied statistics, and data visualization. Visualization was utilized to inspire interest, and advanced segmentation techniques (K Means and hierarchical clustering) were utilized to develop applicable insights for executives. This successful proof of concept illustrated that effective data science can be achieved efficiently. The presentation will be applicable to both the business side (strategies for getting your data science in front of executives) to the technical side (in depth breakdown of advanced analytic methods). By starting small, having a plan, and clear deliverables, we were able to establish credibility and define a process that we would love to share with other organizations.",Escapade,9:00 AM,9:45 AM
28,Daniel,Prager,Daniel Prager,Consultant,Slalom,Deserted Island Data Science – How to Survive and Thrive With Your Analytics,https://www.linkedin.com/in/danielprager,BT,"How does an internal analytics or BI Team develop strategies to create an appetite for advanced analytics within your organization? RBC Wealth Management and Slalom Consulting will share how they helped develop an internal culture of advanced analytics by harnessing the power of organizational knowledge, applied statistics, and data visualization. Visualization was utilized to inspire interest, and advanced segmentation techniques (K Means and hierarchical clustering) were utilized to develop applicable insights for executives. This successful proof of concept illustrated that effective data science can be achieved efficiently. The presentation will be applicable to both the business side (strategies for getting your data science in front of executives) to the technical side (in depth breakdown of advanced analytic methods). By starting small, having a plan, and clear deliverables, we were able to establish credibility and define a process that we would love to share with other organizations.",Escapade,9:00 AM,9:45 AM
29,Scott,Schanke,Scott Schanke,PhD Student,University of Minnesota Carlson School of Management,The Style and Content of Firm-Generated Posts on Social Media,https://www.linkedin.com/in/scott-schanke-06184923,BT,"This research examines how firms can generate engagement on their product pages on Facebook, and whether there is a difference in how firms can generate engagement on their product pages based on users’ level of involvement with the product, and the functional and hedonic properties of products.  Using the firm’s posts as a driver of engagement on its product pages on Facebook, we study the relationship between the style (i.e., formal vs. informal) and content (i.e., business related vs non-business related) of a given post submitted by a firm on its Facebook page and the level of user engagement measured as the number of positive and negative comments on the post. The analysis was conducted on 57000 posts from product pages of Fortune 1000 companies. The key finding from the analysis is that in the environment of Facebook all types of products generate greater engagement from informal posts; however, in the content dimension “incongruous” posts, i.e., posts that differ from the type of content that would be expected on a given product page, generate greater engagement. The analysis has important implications for how firms should engage with customers on Facebook based on the characteristics of their product.",3-432,9:00 AM,9:45 AM
30,Dave,Mathias,Dave Mathias,CEO and Founder,Beyond the Data,"Customer First Data Science Through Analytics, Product Management, and Customer Experience",https://www.linkedin.com/in/davemathias1,B,"Delivering a customer first data science experience should be the goal of any analytics team. This customer could be an internal or external but the questions and process are the same. This session will cover how together analytics, product management, and customer experience professionals can work together and learn from each other to deliver world class products and go through examples of companies that are doing that and just why they are destroying competition.",Auditorium,10:00 AM,10:45 AM
31,Edward,Chenard,Edward Chenard,Founder,Cyberian Data,"The Importance of Data Strategy and Governance for Data Science Success.",https://www.linkedin.com/in/edwardchenard,B,"What makes a sustainable and successful data science team is often not the ability to code or write algorithms but having the right strategy and governance practices in place. Often the missing piece in most data science projects and teams, data strategy and governance is what helps teams deliver great products and really be a driver of business success. This presentation walks through a number of key areas of strategy and governance to help a data science team be successful in deliver success year after year and staying out of the 80% of data science teams that fail to deliver business results.",Escapade,11:15 AM,12:00 PM
32,Lizzy,Wilkins Foo Kune,Lizzy Wilkins Foo Kune,Principal Research Analyst,Gartner,Millennial Panel,https://www.linkedin.com/in/lizzyfookune/,,,1-323,2:00 PM,2:45 PM
32,Tony,Dorn,Tony Dorn,Insight Strategy and Execution,U.S. Bank,Millennial Panel,https://www.linkedin.com/in/anthony-dorn-37b16125/,,,1-323,2:00 PM,2:45 PM
32,Seth,Greenwood,Seth Greenwood,Data Scientist,C.H. Robinson,Millennial Panel,https://www.linkedin.com/in/sethdgreenwood/,,,1-323,2:00 PM,2:45 PM
32,Jasmine,Russell,Jasmine Russell,Founder,Monicat Data | Art,Millennial Panel,https://www.linkedin.com/in/jasmine-russell-mba-19461914/,,,1-323,2:00 PM,2:45 PM
32,Melissa,Gregor,Melissa Gregor,Digital Marketing Analytics Manager,United Healthcare,Millennial Panel,https://www.linkedin.com/in/melissagregor/,,,1-323,2:00 PM,2:45 PM
33,Philip,Jones,Philip Jones,SVP - Risk Management / Actuarial Director – Risk Management / Senior Analyst,"Ameriprise Financial Services, Inc.",Annuities Risks: Policyholders Behaviors,https://www.linkedin.com/in/phil-jones-8a3abb3,B,"Behavioral analytics in financial services have been long-established to help predict what customers are looking for or how to help advisors sell products. Such innovative products involve risks for the financial firm taking such liabilities. Interestingly, predictive analytics have not been traditionally used by individual insurance writers but the conditions are changing. This session will describe new tools considered in understanding the risks undertaken and an articulation of the increase in model complexity that occurs as more and more stochastic elements are introduced",1-323,3:00 PM,3:45 PM
33,Valerie,Gingras,Valerie Gingras,SVP - Risk Management / Actuarial Director – Risk Management / Senior Analyst,"Ameriprise Financial Services, Inc.",Annuities Risks: Policyholders Behaviors,https://www.linkedin.com/in/valerie-gingras-7179a514,B,"Behavioral analytics in financial services have been long-established to help predict what customers are looking for or how to help advisors sell products. Such innovative products involve risks for the financial firm taking such liabilities. Interestingly, predictive analytics have not been traditionally used by individual insurance writers but the conditions are changing. This session will describe new tools considered in understanding the risks undertaken and an articulation of the increase in model complexity that occurs as more and more stochastic elements are introduced",1-323,3:00 PM,3:45 PM
33,Siyue,Wu,Siyue Wu,SVP - Risk Management / Actuarial Director – Risk Management / Senior Analyst,"Ameriprise Financial Services, Inc.",Annuities Risks: Policyholders Behaviors,https://www.linkedin.com/in/siyuewu,B,"Behavioral analytics in financial services have been long-established to help predict what customers are looking for or how to help advisors sell products. Such innovative products involve risks for the financial firm taking such liabilities. Interestingly, predictive analytics have not been traditionally used by individual insurance writers but the conditions are changing. This session will describe new tools considered in understanding the risks undertaken and an articulation of the increase in model complexity that occurs as more and more stochastic elements are introduced",1-323,3:00 PM,3:45 PM
34,Kate,Bischoff,Kate Bischoff,Founder,tHRive Consulting,Data and Privacy Panel,https://www.linkedin.com/in/k8bischhrlaw,,,Auditorium,11:15 AM,12:00 PM
35,Rudy,"Agovic, Ph.D.","Rudy Agovic, Ph.D.",CEO,Reliancy,Content-Based Image Retrieval and Visual Search in Retail,https://www.linkedin.com/in/rudy-agovic-phd-a35b9b9/,BT,"Content-Based image retrieval is the ability to retrieve images based on either similar images or a word-based query. Visual search is the ability to find items within images. This talk will provide an overview of the concepts involved, along with a guide on how to implement one of the approaches using open-source tools.",Escapade,9:00 AM,9:45 AM
36,Melissa,Krasnow,Melissa Krasnow,Partner,VLP Law Group,Next Generation Privacy in a World of Artificial Intelligence,https://www.linkedin.com/in/melissakrasnow,B,,1-323,1:00 PM,1:45 PM
36,Tim,Nagle,Tim Nagle,"Chief Privacy Officer, SVP and Associate General Counsel",U.S. Bank,Next Generation Privacy in a World of Artificial Intelligence,https://www.linkedin.com/in/timothy-nagle-513b276,B,,1-323,1:00 PM,1:45 PM
37,Frank,Bell,Frank Bell,Founder,IT Strategists,Current and Future Trends in AI Content Creation,https://www.linkedin.com/in/frank-bell-885208,BT,"AI is taking over all sorts of industries and creating new opportunities.  The amount of generated data and interoperability is increasing the effectiveness of content creation.  You are reading AI generated content all the time from Google, Associated Press, Fox, Yahoo, and others related to sports, finance, and stats.  This session will cover how AI is currently being used to create content throughout the web with a focus on Artificial Intelligence in Content Marketing.  Some discussion on new techniques and how NLP is used in content creation will be covered.  We will cover tactics that we are using to create reviews based on a combination of automated testing of products and AI generated reviews.  This session will also include how leading companies and industries are effectively creating AI generated content.  Finally we will wrap up with where AI generated content is moving towards in the future.",1-323,9:00 AM,9:45 AM
38,Evan,Stanelle,Evan Stanelle,Managing Director,Digifi,"Next Best Action: How to Optimize Time and Money in a Multi-Model Environment",https://www.linkedin.com/in/evan-stanelle-484797144,BT,"As an organization grows in its analytic maturity, optimization becomes a more pressing issue. But many groups, having spent their focus on forecasting or predictive analytics, are unsure how to take their first steps in prescriptive analytics.  This talk presents a high-level approach for setting up multiple models in an optimization (linear programing) framework including two real world case studies from big finance. The analytic-minded business owner should learn enough to spot opportunity within his or her organization; the enterprising analytics practitioner will be equipped with the tools and steps for implementing their first optimization routine.",2-430,10:00 AM,10:45 AM
39,Gary,Angel,Gary Angel,CEO,Digital Mortar,Surviving the Retail Apocalypse: Bringing Digital Methods to Physical Retail,https://www.linkedin.com/in/garyangel1,B,"Retails massive disruption is due – at least in part- to digital competition. And one of digital’s huge advantages is data and analytics. Digital is comprehensively measurable. And that measurement drives a discipline of testing and continuous improvement that has served the digital channel well. The same discipline can help optimize customer experiences in stores and on-location in any business. And taking advantage of that is critical to surviving today’s challenges. There are now technologies that provide measurement of the in-premise customer journey. Accurately and comprehensively. The data they create is remarkably similar to digital data. It’s the behavioral story of their journey and it’s of immense value in optimizing the customer experience. In this session, we’ll look at the underlying technologies, the type of data they create, the analytic methods that apply, and the parallels to digital that can make tackling in-store location analytics easier. This is a great introduction to the newest discipline of customer analytics and the techniques for bringing it to life and solving its unique challenges.",3-432,11:15 AM,12:00 PM
40,David,Quimby,David Quimby,CEO,Virtual Coast,Online Retail is Not a Silver Bullet,https://www.linkedin.com/in/dhquimby,B,"The tension between online retail and offline retail dominates the retail agenda. The ascent of Amazon and the corresponding descent of physical retail is attributed to the inherent advantages of the online medium. Everybody knows the apocalyptic conditions that physical retail is enduring during the 2016 - 2018 era.The seismic changes in physical retail are not a direct result of the physical medium; the changes in physical retail aren't even as seismic as popular viewpoints would indicate. New forms of physical retail are emerging and the space is transforming. The underlying forces operating in online and offline retail are deep and multi-layered -- their impact is more subtle and complex than the popular understanding portrays.No doubt that there are winners and losers in physical retail -- no doubt that the rate of winning and losing is accelerating. The consequences of winning are becoming ever more lucrative and the consequences of losing are becoming ever more ruthless. But distribution medium is not the determining factor. Agility and responsiveness in either medium is the determining factor. The old paradigm of ""sustainable"" advantage has given way to ""transient"" advantage. Winning in the era of transient advantage is based on agility and responsiveness -- agility and responsiveness, in turn, is based on customer centricity and analytical orientation / data centricity.In this session, we'll explore the true differences between success and failure in the modern retail arena and we'll clarify the keys to success under these conditions.",Auditorium,9:00 AM,9:45 AM
